gst.prod.dl.playstation.net

112.192.17.22	(中国四川成都 联通)
112.194.64.186	(中国四川成都 联通)
116.169.181.57	(中国四川成都 联通)
116.169.183.111	(中国四川成都 联通)
112.19.197.64	(中国四川成都 移动)
112.45.118.82	(中国四川成都 移动)
117.139.140.90	(中国四川成都 移动)
183.222.232.138	(中国四川成都 移动)
220.167.5.20	(中国四川德阳 电信)
220.167.106.55	(中国四川德阳 电信)
60.25.93.67	(中国天津 联通)
60.28.2.37	(中国天津 联通)
60.28.220.136	(中国天津 联通)
111.161.40.81	(中国天津 联通)
125.38.212.70	(中国天津 联通)
111.31.115.182	(中国天津 移动)
111.31.122.50	(中国天津 移动)
111.31.236.254	(中国天津 移动)
111.32.200.78	(中国天津 移动)
113.62.123.15	(中国西藏拉萨 电信)
39.173.183.222	(中国浙江杭州 移动)
112.13.210.134	(中国浙江杭州 移动)
36.25.254.65	(中国浙江湖州 电信)
183.131.170.59	(中国浙江湖州 电信)
36.27.222.246	(中国浙江金华 电信)
60.188.78.136	(中国浙江金华 电信)
60.188.105.9	(中国浙江金华 电信)
112.17.51.11	(中国浙江金华 移动)
183.245.148.60	(中国浙江丽水 移动)
110.42.106.171	(中国浙江宁波 电信)
183.131.35.126	(中国浙江宁波 电信)
183.131.59.39	(中国浙江宁波 电信)
101.71.84.77	(中国浙江宁波 联通)
39.173.150.40	(中国浙江宁波 移动)
117.147.184.164	(中国浙江宁波 移动)
183.134.93.89	(中国浙江绍兴 电信)
106.3.213.54	(中国浙江台州 联通)
116.148.161.158	(中国浙江台州 联通)
39.175.102.208	(中国浙江台州 移动)
61.164.158.55	(中国浙江温州 电信)
115.223.8.119	(中国浙江温州 电信)
122.228.25.78	(中国浙江温州 电信)
122.228.91.174	(中国浙江温州 电信)
